image,system,embed_psnr,embed_ssim,condition,family,param,attack_psnr,attack_ssim,admissible,detected,log10p,A,L,A_log10p,L_log10p,A_anchor,L_bit_accuracy,C,C_log10p,C_bit_accuracy,photometric_psnr,photometric_ssim,bit_acc
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,warp_6.0,geometric,a=6.0,30.5172865674948,0.7669939398765564,1,1,-198.20685097982647,3.516430139541626,30.936485290527344,0.0,-198.50788097549045,nonce,0.986328125,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,overlay_0.15,geometric,f=0.15,12.997753907484196,0.8808924555778503,1,1,-184.7848413629561,8.954273223876953,29.920820236206055,-12.200492641948834,-185.08587135862007,nonce,0.9443359375,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,whiten_1.0,adaptive,s=1.0,32.49430551876782,0.9333654046058655,1,1,-212.72062971327858,2.7491676807403564,31.99850845336914,0.0,-213.02165970894256,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,vae_sd_n0.0,generative,"sd-vae-ft-mse,n=0.0",31.993680992024554,0.7128598690032959,1,1,-83.05179572979033,3.6752493381500244,20.658109664916992,0.0,-83.35282572545431,nonce,0.80078125,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,vae_sd_n0.35,generative,"sd-vae-ft-mse,n=0.35",27.21384263797645,0.6025152802467346,0,1,-45.63529238869815,3.725642442703247,15.951430320739746,0.0,-45.93632238436213,nonce,0.70703125,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,vae_sdxl_n0.2,generative,"sdxl-vae-fp16-fix,n=0.2",29.08832995871231,0.6555899977684021,0,0,0.0,3.1319782733917236,5.38056755065918,0.0,0.0,nonce,0.5,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,img2img_s0.15,generative,s=0.15,30.276413115110195,0.6827793717384338,0,1,-6.769790612634749,2.5111138820648193,8.68710994720459,0.0,-7.07082060829873,nonce,0.6044921875,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,img2img_s0.3,generative,s=0.3,29.352666816669938,0.682455837726593,0,0,0.0,3.1327717304229736,5.465249061584473,0.0,0.0,nonce,0.4541015625,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,img2img_s0.5,generative,s=0.5,27.41509709388758,0.6901583671569824,0,0,0.0,3.321118116378784,5.410376071929932,0.0,0.0,nonce,0.5029296875,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,purify_r2,generative,"r=2,n=0.3",24.862781532922362,0.5482723712921143,0,0,0.0,3.5076067447662354,5.856262683868408,0.0,0.0,nonce,0.5146484375,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,stack_img2img_crop_jpeg,composite,img2img(s=0.25)->crop(0.85)->jpeg(q=60),inf,1.0,0,0,0.0,2.897535800933838,5.299317359924316,0.0,0.0,nonce,0.5263671875,,,,29.67456054684183,0.6979303359985352,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,stack_crop_jpeg_noise,composite,crop(0.8)->jpeg(q=50)->noise(sigma=5.0),inf,1.0,0,1,-34.75222861471159,2.467867136001587,14.29439640045166,0.0,-35.05325861037557,nonce,0.67578125,,,,30.486906626837175,0.5845573544502258,
